1.0512;0.0001;0.0001;0.0001;0.0001;0.0001;0.0011;0.0001;0.0005;0.0001;0.0002;0.0002;0.0003;0.0012;0.001;0.0007;0.0005;0.0013;0.0028;0.0035;0.0034;0.0002;0.1529;0.0013;0.4128;0.034;0.0003;0.0004;0.0002;0.0005;0.0006;0.0005;0.0009;0.0004;0.0003;0.0003;0.0003;0.0003;0.0004;0.0003;0.0004;0.0005;0.0004;0.0005;0.0004;0.0008;0.0004;0.0003;0.0001;0.0004;0.0001;0.0013;0.0013;0.0002;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0002;0.001;0;0.0008;0.0004;0.0003;0
0.0001;1.0008;0;0;0;0.0001;0.0154;0;0.0071;0.0001;0.0001;0.0001;0.0001;0.0452;0.0407;0.0014;0.004;0.0114;0.449;0.0924;0.1281;0.0001;0.0031;0.0834;0.0002;0.0934;0.0235;0.0002;0.0001;0.0001;0.0002;0.0015;0.0013;0.0001;0.0001;0.0001;0.0002;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0002;0.0001;0.0006;0.0002;0.0001;0;0.0002;0.0001;0.004;0.0079;0.0002;0;0.0002;0.0002;0.0001;0.0001;0;0.0015;0.0027;0.0001;0.0012;0.0003;0.0011;0
0;0;1.0015;0;0;0;0.0001;0;0.0001;0;0;0;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0;0.0002;0.0001;0.0001;0.0001;0;0.0001;0;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0;0;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0;0.0001;0;0.0062;0.001;0.0001;0;0.0001;0;0;0;0;0.0001;0;0;0;0.0001;0;0
0.0001;0;0;1.0009;0;0;0.0002;0;0.0002;0.0001;0.0001;0.0001;0.0001;0.0003;0.0004;0.0002;0.0002;0.0006;0.0011;0.0021;0.002;0.0001;0.0003;0.0007;0.0002;0.0568;0.0001;0.0012;0.0001;0.0001;0.0002;0.0002;0.0003;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0002;0.0001;0.0002;0.0001;0.0001;0;0.0001;0.0001;0.006;0.0156;0.0002;0.0001;0.0003;0.0003;0.0001;0.0001;0;0.0003;0.0013;0.0001;0.0006;0.0019;0.0001;0
0.0004;0.0001;0.0001;0.0001;1.0057;0.0001;0.2828;0.0001;0.0048;0.0003;0.0004;0.0009;0.0003;0.1019;0.0072;0.0019;0.1916;0.1008;0.0022;0.0295;0.0151;0.5367;0.0335;0.0146;0.0007;0.0658;0.3269;0.0383;0.1966;0.0859;0.0197;0.0214;0.0006;0.0014;0.0006;0.0011;0.0198;0.0004;0.0006;0.0008;0.0005;0.0008;0.001;0.0007;0.0005;0.0035;0.0006;0.0012;0.0002;0.0005;0.0003;0.0071;0.0152;0.0005;0.0003;0.0008;0.0004;0.0002;0.0002;0.0002;0.0022;0.0018;0.0003;0.002;0.0035;0.0044;0
0.0319;0.0121;0.0928;0.04;0.015;1;0.039;0.0001;0.0007;0;0.0001;0.0001;0.0001;0.0145;0.0012;0.0003;0.0032;0.0125;0.0058;0.0025;0.0025;0.008;0.0055;0.0015;0.0126;0.0066;0.0052;0.0007;0.003;0.0015;0.0005;0.0025;0.0003;0.0001;0.0001;0.0001;0.0004;0.0001;0.0001;0.0001;0.0001;0.0002;0.0002;0.0002;0.0001;0.0003;0.0001;0.0001;0;0.0001;0;0.0013;0.0021;0.0001;0;0.0001;0.0001;0;0;0;0.0003;0.0002;0;0.0002;0.0002;0.0003;0
0.0002;0.0001;0.0001;0.0001;0.0001;0.0001;1.0374;0.0001;0.0127;0.0002;0.0001;0.0002;0.0002;0.3666;0.0118;0.0028;0.0065;0.3201;0.0013;0.0174;0.0094;0.0002;0.0026;0.003;0.0003;0.0315;0.0003;0.0003;0.0001;0.0018;0.0011;0.0597;0.0005;0.0002;0.0002;0.0002;0.0005;0.0002;0.0002;0.0002;0.0003;0.0003;0.0003;0.0003;0.0002;0.0005;0.0008;0.0003;0.0001;0.0003;0.0001;0.0059;0.0262;0.0004;0.0001;0.0007;0.0005;0.0001;0.0001;0.0001;0.0054;0.0018;0.0001;0.0021;0.0008;0.0042;0
0.0014;0.0002;0.0002;0.0001;0.0001;0.0002;0.0002;1.0123;0.0002;0.0003;0.0003;0.0171;0.0833;0.0003;0.0003;0.0002;0.0002;0.0003;0.0002;0.0002;0.0003;0.0002;0.0005;0.0002;0.0051;0.0008;0.0001;0.0002;0.0001;0.0002;0.0002;0.0002;0.2702;0.0002;0.0003;0.0002;0.0001;0.0126;0.0002;0.0002;0.0045;0.003;0.0006;0.0061;0.0008;0.1004;0.0017;0.0002;0.0001;0.0393;0.0002;0.0004;0.0003;0.0002;0.0002;0.0006;0.001;0.0003;0.0044;0.0001;0.0022;0.0002;0.0011;0.0004;0.0008;0.0031;0
0.0001;0;0;0;0;0;0.0129;0;1.1802;0.0001;0.0001;0.0001;0.0001;0.0051;0.4628;0.0043;0.0003;0.0042;0.0003;0.0005;0.0004;0.0001;0.0004;0.0009;0.0002;0.0006;0.0001;0.0002;0.0001;0.0002;0.0002;0.0009;0.0003;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0002;0.0002;0.0002;0.0002;0.0001;0.0003;0.0001;0.0001;0;0.0002;0.0001;0.0032;0.0152;0.0002;0.0001;0.0002;0.0002;0.0001;0.0001;0;0.0003;0.0002;0.0001;0.0001;0.0003;0.0003;0
0.0054;0.013;0.0052;0.0051;0.0044;0.0103;0.0078;0.0028;0.0067;1.0066;0.0031;0.0114;0.0104;0.007;0.007;0.0092;0.0039;0.0064;0.008;0.0049;0.0114;0.0099;0.0055;0.0035;0.0061;0.0101;0.0043;0.0057;0.0026;0.006;0.0035;0.0039;0.0068;0.0059;0.2619;0.0032;0.0047;0.0029;0.0039;0.0305;0.0301;0.0052;0.0048;0.0073;0.0026;0.0051;0.0047;0.0977;0.0045;0.0061;0.0063;0.007;0.0044;0.0279;0.0066;0.007;0.0036;0.0015;0.0047;0.005;0.0044;0.0013;0.0011;0.0014;0.0031;0.0063;0
0.0007;0.0017;0.0007;0.0007;0.0006;0.0013;0.001;0.0004;0.0009;0.1282;1.0004;0.0015;0.0013;0.0009;0.0009;0.0012;0.0005;0.0008;0.001;0.0006;0.0015;0.0013;0.0007;0.0004;0.0008;0.0013;0.0006;0.0007;0.0003;0.0008;0.0004;0.0005;0.0009;0.0008;0.0339;0.0004;0.0006;0.0004;0.0005;0.0039;0.0039;0.0007;0.0006;0.0009;0.0003;0.0007;0.0006;0.0125;0.0006;0.0008;0.0008;0.0009;0.0006;0.0036;0.0008;0.0009;0.0005;0.0002;0.0006;0.0006;0.0006;0.0002;0.0001;0.0002;0.0004;0.0008;0
0.0002;0.0001;0.0001;0.0001;0.0001;0.0004;0.0002;0.0001;0.0002;0.0011;0.0068;1.0005;0.0004;0.0002;0.0002;0.0003;0.0001;0.0003;0.0002;0.0002;0.0003;0.0002;0.0003;0.0002;0.0004;0.0005;0.0001;0.0003;0.0001;0.0003;0.0002;0.0003;0.0016;0.0002;0.0005;0.0023;0.0006;0.0004;0.0005;0.0007;0.0022;0.1666;0.0222;0.0238;0.0028;0.0054;0.004;0.0004;0.0001;0.0011;0.0001;0.0002;0.0002;0.0001;0.0001;0.0004;0.0002;0.0001;0.0001;0.0001;0.0001;0.0002;0;0.0005;0.0001;0.0006;0
0;0;0;0;0;0;0.0001;0;0.0001;0.0001;0.0001;0.0001;1.0001;0.0001;0.0001;0.0001;0;0.0001;0;0.0001;0.0001;0.0001;0.0001;0;0;0.0001;0;0.0001;0;0;0.0001;0.0001;0.0001;0;0.0001;0.0001;0.0001;0;0;0.0001;0.0496;0;0.0001;0.0001;0;0.0001;0;0.0001;0;0.0117;0;0.0001;0.0001;0.0001;0;0;0.0002;0.0001;0.0013;0;0.0001;0;0.0001;0;0.0002;0.0006;0
0.0001;0.0001;0.0001;0.0001;0.0001;0.0002;0.0383;0.0001;0.0367;0.0004;0.0001;0.0002;0.0002;1.0781;0.0336;0.0075;0.0186;0.03;0.0009;0.0093;0.0115;0.0002;0.001;0.0079;0.0002;0.0899;0.0005;0.0003;0.0002;0.0004;0.0004;0.0149;0.0004;0.0002;0.0002;0.0002;0.001;0.0002;0.0002;0.0002;0.0003;0.0002;0.0002;0.0002;0.0002;0.0004;0.0018;0.0003;0.0001;0.0002;0.0002;0.0113;0.0533;0.0007;0.0002;0.0009;0.0009;0.0003;0.0002;0.0001;0.0149;0.0026;0.0002;0.0045;0.0013;0.0038;0
0.0001;0;0;0;0;0;0.0286;0;0.031;0.0002;0.0001;0.0001;0.0001;0.0108;1.0325;0.0069;0.0003;0.009;0.0002;0.0007;0.0005;0.0001;0.0003;0.0015;0.0001;0.0011;0.0001;0.0001;0.0001;0.0002;0.0002;0.0018;0.0002;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0002;0.0001;0.0001;0;0.0001;0.0001;0.0065;0.0239;0.0003;0.0001;0.0004;0.0004;0.0001;0.0001;0.0001;0.0005;0.0002;0.0001;0.0001;0.0005;0.0004;0
0.0001;0;0.0001;0;0;0.0001;0.0024;0;0.0021;0.0002;0.0001;0.0001;0.0001;0.0087;0.009;1.043;0.0003;0.0011;0.0002;0.0003;0.0003;0.0001;0.0003;0.0263;0.0001;0.001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0004;0.0002;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0002;0.0001;0.0001;0.0001;0.0001;0.0001;0.0151;0.0297;0.0004;0.0001;0.0005;0.0005;0.0002;0.0001;0.0001;0.0006;0.0005;0.0001;0.0001;0.0008;0.0001;0
0.0005;0.0001;0.0001;0.0001;0.0001;0.0001;0.007;0.0001;0.0057;0.0002;0.0005;0.0016;0.0004;0.0124;0.0214;0.0017;1.1674;0.0435;0.0026;0.033;0.0035;0.0021;0.0088;0.0793;0.0006;0.0107;0.0014;0.0007;0.001;0.0011;0.0008;0.0012;0.0009;0.0021;0.0005;0.0019;0.0023;0.0006;0.0007;0.0012;0.0006;0.0008;0.0007;0.0012;0.0007;0.0017;0.0006;0.0006;0.0001;0.0009;0.0003;0.0025;0.0063;0.0004;0.0003;0.0003;0.0002;0.0001;0.0002;0.0001;0.0009;0.0019;0.0003;0.0024;0.0066;0.0036;0
0.0002;0.0001;0.0001;0.0001;0.0001;0.0001;0.0005;0.0001;0.0006;0.0002;0.0002;0.0002;0.0003;0.0008;0.0009;0.0006;0.0004;1.025;0.0012;0.0145;0.0019;0.0002;0.0034;0.0008;0.0006;0.0011;0.0002;0.0004;0.0002;0.0004;0.0005;0.0004;0.0007;0.0003;0.0003;0.0003;0.0003;0.0002;0.0003;0.0003;0.0004;0.0004;0.0004;0.0004;0.0003;0.0007;0.0003;0.0003;0.0001;0.0004;0.0002;0.0055;0.0186;0.0005;0.0002;0.0004;0.0004;0.0001;0.0001;0.0001;0.0005;0.0011;0.0002;0.0008;0.0008;0.0077;0
0.0001;0;0;0;0;0.0001;0.0012;0;0.001;0.0001;0.0001;0.0001;0.0001;0.0067;0.0041;0.0003;0.0002;0.0134;1.0024;0.2029;0.2795;0.0001;0.0064;0.0108;0.0002;0.0059;0.0092;0.0002;0.0001;0.0001;0.0001;0.0003;0.0027;0.0001;0.0001;0.0002;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0002;0.0001;0.0011;0.0001;0.0001;0;0.0002;0.0001;0.0059;0.009;0.0002;0.0001;0.0002;0.0002;0.0001;0.0001;0;0.0019;0.0045;0.0001;0.0015;0.0003;0.0017;0
0;0;0;0;0;0;0.0002;0;0.0002;0.0001;0.0001;0;0.0001;0.0002;0.0002;0.0001;0.0001;0.0003;0.0002;1.0021;0.0004;0;0.0148;0.0002;0.0001;0.0001;0;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0;0;0;0;0.0001;0.0001;0.0001;0.0001;0.0001;0;0.0001;0;0.0001;0;0.0001;0.0001;0.0154;0.0053;0.0003;0.0001;0.0002;0.0002;0.0001;0;0.0001;0.0007;0.0074;0.0002;0.0017;0.0003;0.0074;0
0;0;0;0;0;0.0001;0.0001;0;0.0001;0;0;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0002;0.0001;1.0005;0;0.0001;0.0002;0;0.0001;0;0.0001;0;0;0.0001;0.0001;0.0001;0;0;0;0;0;0;0.0001;0.0001;0.0001;0;0;0;0.0001;0;0;0;0;0;0.0046;0.0039;0.0001;0;0.0001;0.0001;0;0;0;0.0001;0.0013;0;0.0004;0.0001;0;0
0.0001;0;0;0;0;0;0.0004;0;0.0004;0.0001;0.0001;0.0001;0.0001;0.0003;0.0003;0.0011;0.0001;0.0122;0.0018;0.0309;0.019;1.0003;0.0413;0.0004;0.0005;0.0069;0.009;0.0708;0;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0002;0.0022;0.0001;0.0001;0.0001;0.0002;0.0001;0.0001;0.0001;0.0001;0.0002;0.0001;0.0013;0.0001;0.0001;0.0001;0.0019;0.0029;0.0001;0.0001;0.0002;0.0001;0;0;0;0.0003;0.0009;0.0001;0.0004;0.0003;0.0016;0
0.0006;0.0002;0.0002;0.0001;0.0002;0.0002;0.0009;0.0001;0.001;0.0002;0.0004;0.0004;0.0006;0.0018;0.0019;0.0013;0.001;0.0036;0.0026;0.0204;0.0059;0.0004;1.376;0.0026;0.002;0.0013;0.0005;0.0008;0.0003;0.0009;0.0012;0.001;0.0017;0.0008;0.0006;0.0006;0.0006;0.0005;0.0007;0.0006;0.0008;0.0009;0.0009;0.001;0.0007;0.0016;0.0007;0.0007;0.0001;0.0009;0.0002;0.0051;0.0052;0.0005;0.0002;0.0003;0.0002;0.0001;0.0002;0.0002;0.0004;0.001;0.0001;0.0009;0.0007;0.0008;0
0;0;0;0;0;0;0.0543;0;0.0538;0;0;0;0;0.02;0.0475;0.0088;0.0007;0.0169;0.0001;0.0014;0.0011;0;0.0002;1.0007;0.0001;0.0027;0;0;0;0.0001;0.0001;0.0033;0.0001;0;0;0;0.0001;0;0;0;0;0.0001;0;0.0001;0;0.0001;0.0001;0;0;0;0;0.001;0.0037;0.0001;0;0.0001;0.0001;0;0;0;0.0005;0.0002;0;0.0002;0.0001;0.0003;0
0;0;0;0;0;0;0.0001;0;0;0;0;0;0;0;0.0001;0;0;0;0.0003;0.0002;0.0017;0;0;0.0005;1.0637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0.0003;0;0;0;0;0;0;0;0;0.0001;0;0.0001;0;0.0001;0
0.0001;0;0;0;0;0;0.001;0;0.0006;0.0001;0.0001;0.0001;0.0001;0.0008;0.0018;0.0003;0.0004;0.0009;0.0051;0.0063;0.0285;0.0003;0.0008;0.008;0.0002;1.0006;0.0008;0.0004;0.0001;0.0002;0.0002;0.0002;0.0003;0.0001;0.0001;0.0001;0.0002;0.0001;0.0001;0.0001;0.0002;0.0001;0.0001;0.0002;0.0001;0.0003;0.0001;0.0001;0;0.0002;0.0001;0.0043;0.0025;0.0002;0;0.0001;0.0001;0;0.0002;0;0.0002;0.0009;0;0.0009;0.0002;0.0008;0
0.0001;0.0001;0.0001;0;0;0.0001;0.0002;0;0.0002;0.0001;0.0001;0.0002;0.0001;0.0002;0.0002;0.0002;0.0001;0.0002;0.0001;0.0002;0.0002;0.0001;0.0002;0.0002;0.0001;0.0002;1.0184;0.0001;0.0001;0.0001;0.0001;0.0001;0.0002;0.0002;0.0011;0.0002;0.0032;0.0001;0.0001;0.0002;0.0002;0.0001;0.0001;0.0001;0.0001;0.0002;0.0001;0.0003;0.0001;0.0001;0.0001;0.0111;0.0138;0.0003;0.0001;0.0003;0.0003;0.0001;0.0001;0.0001;0.0004;0.0001;0.0001;0.0001;0.0007;0.0035;0
